Tick,Switch,Signal
0,A,GREEN
0,B,GREEN
0,C,GREEN
0,D,GREEN
0,E,GREEN
0,F,GREEN
0,G,GREEN
0,H,GREEN
0,I,GREEN
0,J,GREEN
0,K,GREEN
0,L,GREEN
0,A,GREEN
0,B,GREEN
0,C,GREEN
0,D,GREEN
0,E,GREEN
0,F,GREEN
0,G,GREEN
0,H,GREEN
0,I,GREEN
0,J,GREEN
0,K,GREEN
0,L,GREEN
1,A,GREEN
1,B,GREEN
1,C,GREEN
1,D,GREEN
1,E,GREEN
1,F,GREEN
1,G,GREEN
1,H,GREEN
1,I,GREEN
1,J,GREEN
1,K,GREEN
1,L,GREEN
2,A,GREEN
2,B,GREEN
2,C,GREEN
2,D,GREEN
2,E,GREEN
2,F,GREEN
2,G,GREEN
2,H,GREEN
2,I,GREEN
2,J,GREEN
2,K,GREEN
2,L,GREEN
3,A,GREEN
3,B,GREEN
3,C,GREEN
3,D,GREEN
3,E,GREEN
3,F,GREEN
3,G,GREEN
3,H,GREEN
3,I,GREEN
3,J,GREEN
3,K,GREEN
3,L,GREEN
4,A,RED
4,B,GREEN
4,C,GREEN
4,D,GREEN
4,E,GREEN
4,F,GREEN
4,G,GREEN
4,H,GREEN
4,I,GREEN
4,J,GREEN
4,K,GREEN
4,L,GREEN
5,A,GREEN
5,B,GREEN
5,C,GREEN
5,D,GREEN
5,E,GREEN
5,F,GREEN
5,G,GREEN
5,H,GREEN
5,I,GREEN
5,J,GREEN
5,K,GREEN
5,L,GREEN
6,A,GREEN
6,B,GREEN
6,C,GREEN
6,D,GREEN
6,E,GREEN
6,F,GREEN
6,G,GREEN
6,H,GREEN
6,I,GREEN
6,J,GREEN
6,K,GREEN
6,L,GREEN
7,A,GREEN
7,B,GREEN
7,C,GREEN
7,D,GREEN
7,E,GREEN
7,F,GREEN
7,G,GREEN
7,H,GREEN
7,I,GREEN
7,J,GREEN
7,K,GREEN
7,L,GREEN
8,A,GREEN
8,B,GREEN
8,C,GREEN
8,D,GREEN
8,E,GREEN
8,F,GREEN
8,G,GREEN
8,H,GREEN
8,I,GREEN
8,J,GREEN
8,K,GREEN
8,L,GREEN
9,A,GREEN
9,B,GREEN
9,C,GREEN
9,D,GREEN
9,E,GREEN
9,F,GREEN
9,G,GREEN
9,H,GREEN
9,I,GREEN
9,J,GREEN
9,K,GREEN
9,L,GREEN
10,A,GREEN
10,B,GREEN
10,C,GREEN
10,D,GREEN
10,E,GREEN
10,F,GREEN
10,G,GREEN
10,H,GREEN
10,I,GREEN
10,J,GREEN
10,K,GREEN
10,L,GREEN
11,A,GREEN
11,B,GREEN
11,C,GREEN
11,D,GREEN
11,E,GREEN
11,F,GREEN
11,G,GREEN
11,H,GREEN
11,I,GREEN
11,J,GREEN
11,K,GREEN
11,L,GREEN
12,A,GREEN
12,B,GREEN
12,C,GREEN
12,D,GREEN
12,E,GREEN
12,F,GREEN
12,G,GREEN
12,H,GREEN
12,I,GREEN
12,J,GREEN
12,K,GREEN
12,L,GREEN
13,A,GREEN
13,B,GREEN
13,C,GREEN
13,D,GREEN
13,E,GREEN
13,F,GREEN
13,G,GREEN
13,H,RED
13,I,GREEN
13,J,GREEN
13,K,GREEN
13,L,GREEN
14,A,GREEN
14,B,GREEN
14,C,GREEN
14,D,GREEN
14,E,GREEN
14,F,GREEN
14,G,GREEN
14,H,GREEN
14,I,GREEN
14,J,GREEN
14,K,GREEN
14,L,GREEN
